--- Location Result ---
Origin Time: 2026-03-11T09:05:51.353142Z
Latitude: 37.4809
Longitude: 129.7177
Depth: 0.00 km
Magnitude: ML 3.16 (390 channels)
Used Stations: 34

=== Used Stations for Location ===
KS.BOHB      | Lat:  36.9263 | Lon:  129.0537 | P-Arr: 2026-03-11T09:06:04.943261Z
KS.CHYB      | Lat:  36.9440 | Lon:  128.9145 | P-Arr: 2026-03-11T09:06:06.618400Z
KS.JDGB      | Lat:  37.6904 | Lon:  128.6743 | P-Arr: 2026-03-11T09:06:08.338827Z
KS.JECB      | Lat:  37.1595 | Lon:  128.1945 | P-Arr: 2026-03-11T09:06:14.010000Z
KS.GEJB      | Lat:  38.4165 | Lon:  128.3858 | P-Arr: 2026-03-11T09:06:14.858400Z
KS.EUSB      | Lat:  36.3561 | Lon:  128.6887 | P-Arr: 2026-03-11T09:06:15.521352Z
KS.IJS4      | Lat:  38.3260 | Lon:  128.2038 | P-Arr: 2026-03-11T09:06:16.350000Z
KS.GUWB      | Lat:  36.1824 | Lon:  128.5933 | P-Arr: 2026-03-11T09:06:18.621725Z
KS.CHJ3      | Lat:  36.8730 | Lon:  127.9748 | P-Arr: 2026-03-11T09:06:19.359909Z
KS.CHCB      | Lat:  37.7776 | Lon:  127.8144 | P-Arr: 2026-03-11T09:06:19.802820Z
KS.BURB      | Lat:  37.2317 | Lon:  127.7486 | P-Arr: 2026-03-11T09:06:20.245730Z
KS.CGUB      | Lat:  37.5583 | Lon:  127.7136 | P-Arr: 2026-03-11T09:06:20.541004Z
KS.JHCB      | Lat:  38.2322 | Lon:  127.6888 | P-Arr: 2026-03-11T09:06:22.903192Z
KS.BON2      | Lat:  36.5482 | Lon:  127.7981 | P-Arr: 2026-03-11T09:06:23.493740Z
KS.GAPB      | Lat:  37.8441 | Lon:  127.4950 | P-Arr: 2026-03-11T09:06:24.084287Z
KS.CPR2      | Lat:  36.2210 | Lon:  127.9719 | P-Arr: 2026-03-11T09:06:24.379560Z
KS.CEA2      | Lat:  36.8230 | Lon:  127.2574 | P-Arr: 2026-03-11T09:06:24.674834Z
KS.ICN2      | Lat:  37.2908 | Lon:  127.4167 | P-Arr: 2026-03-11T09:06:25.708292Z
KS.GMHB      | Lat:  38.2500 | Lon:  127.4209 | P-Arr: 2026-03-11T09:06:26.151202Z
KS.HWDB      | Lat:  37.6322 | Lon:  127.3404 | P-Arr: 2026-03-11T09:06:26.298838Z
KS.CWO2      | Lat:  38.0834 | Lon:  127.5205 | P-Arr: 2026-03-11T09:06:26.446476Z
KS.IYIB      | Lat:  37.2707 | Lon:  127.2317 | P-Arr: 2026-03-11T09:06:26.741749Z
KS.HAWB      | Lat:  37.0844 | Lon:  126.7739 | P-Arr: 2026-03-11T09:06:29.660000Z
KS.HSJB      | Lat:  36.5668 | Lon:  127.2804 | P-Arr: 2026-03-11T09:06:29.842122Z
KS.GDDB      | Lat:  34.9930 | Lon:  128.8313 | P-Arr: 2026-03-11T09:06:34.714136Z
KS.GDS5      | Lat:  37.7753 | Lon:  126.2284 | P-Arr: 2026-03-11T09:06:35.050000Z
